period,None,D0,D1,D2,D3,D4
2004-02-24,100.00,0.00,0.00,0.00,0.00,0.00
2004-03-02,0.00,100.00,0.00,0.00,0.00,0.00
2004-03-09,0.00,100.00,0.00,0.00,0.00,0.00
2004-03-16,0.00,100.00,0.00,0.00,0.00,0.00
2004-03-23,0.00,100.00,0.00,0.00,0.00,0.00
2004-03-30,0.00,100.00,0.00,0.00,0.00,0.00
2004-04-06,100.00,0.00,0.00,0.00,0.00,0.00
2004-04-13,100.00,0.00,0.00,0.00,0.00,0.00
2004-04-20,100.00,0.00,0.00,0.00,0.00,0.00
2004-04-27,100.00,0.00,0.00,0.00,0.00,0.00
2004-05-04,100.00,0.00,0.00,0.00,0.00,0.00
2004-05-11,100.00,0.00,0.00,0.00,0.00,0.00
2004-05-18,100.00,0.00,0.00,0.00,0.00,0.00
2004-05-25,100.00,0.00,0.00,0.00,0.00,0.00
2004-06-01,100.00,0.00,0.00,0.00,0.00,0.00
2004-06-08,100.00,0.00,0.00,0.00,0.00,0.00
2004-06-15,100.00,0.00,0.00,0.00,0.00,0.00
2004-06-22,100.00,0.00,0.00,0.00,0.00,0.00
2004-06-29,100.00,0.00,0.00,0.00,0.00,0.00
2004-07-06,100.00,0.00,0.00,0.00,0.00,0.00
2004-07-13,100.00,0.00,0.00,0.00,0.00,0.00
2004-07-20,100.00,0.00,0.00,0.00,0.00,0.00
2004-07-27,100.00,0.00,0.00,0.00,0.00,0.00
2004-08-03,100.00,0.00,0.00,0.00,0.00,0.00
2004-08-10,100.00,0.00,0.00,0.00,0.00,0.00
2004-08-17,100.00,0.00,0.00,0.00,0.00,0.00
2004-08-24,100.00,0.00,0.00,0.00,0.00,0.00
2004-08-31,100.00,0.00,0.00,0.00,0.00,0.00
2004-09-07,100.00,0.00,0.00,0.00,0.00,0.00
2004-09-14,100.00,0.00,0.00,0.00,0.00,0.00
2004-09-21,100.00,0.00,0.00,0.00,0.00,0.00
2004-09-28,100.00,0.00,0.00,0.00,0.00,0.00
2004-10-05,100.00,0.00,0.00,0.00,0.00,0.00
2004-10-12,100.00,0.00,0.00,0.00,0.00,0.00
2004-10-19,100.00,0.00,0.00,0.00,0.00,0.00
2004-10-26,100.00,0.00,0.00,0.00,0.00,0.00
2004-11-02,100.00,0.00,0.00,0.00,0.00,0.00
2004-11-09,100.00,0.00,0.00,0.00,0.00,0.00
2004-11-16,100.00,0.00,0.00,0.00,0.00,0.00
2004-11-23,100.00,0.00,0.00,0.00,0.00,0.00
2004-11-30,100.00,0.00,0.00,0.00,0.00,0.00
2004-12-07,100.00,0.00,0.00,0.00,0.00,0.00
2004-12-14,100.00,0.00,0.00,0.00,0.00,0.00
2004-12-21,100.00,0.00,0.00,0.00,0.00,0.00
2004-12-28,100.00,0.00,0.00,0.00,0.00,0.00
2005-01-04,100.00,0.00,0.00,0.00,0.00,0.00
2005-01-11,100.00,0.00,0.00,0.00,0.00,0.00
2005-01-18,100.00,0.00,0.00,0.00,0.00,0.00
2005-01-25,100.00,0.00,0.00,0.00,0.00,0.00
2005-02-01,100.00,0.00,0.00,0.00,0.00,0.00
2005-02-08,100.00,0.00,0.00,0.00,0.00,0.00
2005-02-15,100.00,0.00,0.00,0.00,0.00,0.00
2005-02-22,100.00,0.00,0.00,0.00,0.00,0.00
2005-03-01,100.00,0.00,0.00,0.00,0.00,0.00
2005-03-08,100.00,0.00,0.00,0.00,0.00,0.00
2005-03-15,100.00,0.00,0.00,0.00,0.00,0.00
2005-03-22,100.00,0.00,0.00,0.00,0.00,0.00
2005-03-29,100.00,0.00,0.00,0.00,0.00,0.00
2005-04-05,100.00,0.00,0.00,0.00,0.00,0.00
2005-04-12,100.00,0.00,0.00,0.00,0.00,0.00
2005-04-19,100.00,0.00,0.00,0.00,0.00,0.00
2005-04-26,93.76,6.24,0.00,0.00,0.00,0.00
2005-05-03,49.61,50.39,0.00,0.00,0.00,0.00
2005-05-10,100.00,0.00,0.00,0.00,0.00,0.00
2005-05-17,100.00,0.00,0.00,0.00,0.00,0.00
2005-05-24,100.00,0.00,0.00,0.00,0.00,0.00
2005-05-31,100.00,0.00,0.00,0.00,0.00,0.00
2005-06-07,100.00,0.00,0.00,0.00,0.00,0.00
2005-06-14,100.00,0.00,0.00,0.00,0.00,0.00
2005-06-21,100.00,0.00,0.00,0.00,0.00,0.00
2005-06-28,0.00,100.00,0.00,0.00,0.00,0.00
2005-07-05,0.00,100.00,100.00,0.00,0.00,0.00
2005-07-12,0.00,100.00,100.00,100.00,0.00,0.00
2005-07-19,0.00,100.00,100.00,0.00,0.00,0.00
2005-07-26,0.00,100.00,0.00,0.00,0.00,0.00
2005-08-02,0.00,100.00,0.00,0.00,0.00,0.00
2005-08-09,0.00,100.00,0.00,0.00,0.00,0.00
2005-08-16,0.00,100.00,0.00,0.00,0.00,0.00
2005-08-23,0.00,100.00,0.00,0.00,0.00,0.00
2005-08-30,0.00,100.00,0.00,0.00,0.00,0.00
2005-09-06,0.00,100.00,0.00,0.00,0.00,0.00
2005-09-13,0.00,100.00,0.00,0.00,0.00,0.00
2005-09-20,0.00,100.00,0.00,0.00,0.00,0.00
2005-09-27,0.00,100.00,0.00,0.00,0.00,0.00
2005-10-04,0.00,100.00,0.00,0.00,0.00,0.00
2005-10-11,0.00,100.00,0.00,0.00,0.00,0.00
2005-10-18,100.00,0.00,0.00,0.00,0.00,0.00
2005-10-25,100.00,0.00,0.00,0.00,0.00,0.00
2005-11-01,100.00,0.00,0.00,0.00,0.00,0.00
2005-11-08,100.00,0.00,0.00,0.00,0.00,0.00
2005-11-15,0.00,100.00,18.25,0.00,0.00,0.00
2005-11-22,0.00,100.00,18.25,0.00,0.00,0.00
2005-11-29,47.44,52.56,0.00,0.00,0.00,0.00
2005-12-06,47.44,52.56,0.00,0.00,0.00,0.00
2005-12-13,0.00,100.00,0.00,0.00,0.00,0.00
2005-12-20,0.00,100.00,0.00,0.00,0.00,0.00
2005-12-27,0.00,100.00,0.00,0.00,0.00,0.00
2006-01-03,0.00,100.00,0.00,0.00,0.00,0.00
2006-01-10,0.00,100.00,100.00,0.00,0.00,0.00
2006-01-17,0.00,100.00,100.00,0.00,0.00,0.00
2006-01-24,0.00,100.00,100.00,0.00,0.00,0.00
2006-01-31,0.00,100.00,100.00,13.32,0.00,0.00
2006-02-07,0.00,100.00,100.00,13.32,0.00,0.00
2006-02-14,0.00,100.00,100.00,100.00,0.00,0.00
2006-02-21,0.00,100.00,100.00,100.00,0.00,0.00
2006-02-28,0.00,100.00,100.00,100.00,0.00,0.00
2006-03-07,0.00,100.00,100.00,100.00,0.00,0.00
2006-03-14,0.00,100.00,100.00,100.00,100.00,0.00
2006-03-21,0.00,100.00,100.00,100.00,100.00,0.00
2006-03-28,0.00,100.00,100.00,100.00,100.00,0.00
2006-04-04,0.00,100.00,100.00,100.00,100.00,0.00
2006-04-11,0.00,100.00,100.00,100.00,100.00,0.00
2006-04-18,0.00,100.00,100.00,100.00,100.00,0.00
2006-04-25,0.00,100.00,100.00,100.00,100.00,0.00
2006-05-02,0.00,100.00,100.00,100.00,100.00,0.00
2006-05-09,0.00,100.00,100.00,100.00,100.00,100.00
2006-05-16,0.00,100.00,100.00,100.00,100.00,100.00
2006-05-23,0.00,100.00,100.00,100.00,100.00,100.00
2006-05-30,0.00,100.00,100.00,100.00,47.11,27.08
2006-06-06,0.00,100.00,100.00,61.98,33.47,0.00
2006-06-13,0.00,100.00,100.00,61.98,0.19,0.00
2006-06-20,0.00,100.00,100.00,61.98,0.19,0.00
2006-06-27,0.00,100.00,100.00,61.98,0.19,0.00
2006-07-04,99.60,0.40,0.00,0.00,0.00,0.00
2006-07-11,100.00,0.00,0.00,0.00,0.00,0.00
2006-07-18,100.00,0.00,0.00,0.00,0.00,0.00
2006-07-25,100.00,0.00,0.00,0.00,0.00,0.00
2006-08-01,100.00,0.00,0.00,0.00,0.00,0.00
2006-08-08,100.00,0.00,0.00,0.00,0.00,0.00
2006-08-15,100.00,0.00,0.00,0.00,0.00,0.00
2006-08-22,100.00,0.00,0.00,0.00,0.00,0.00
2006-08-29,100.00,0.00,0.00,0.00,0.00,0.00
2006-09-05,100.00,0.00,0.00,0.00,0.00,0.00
2006-09-12,100.00,0.00,0.00,0.00,0.00,0.00
2006-09-19,100.00,0.00,0.00,0.00,0.00,0.00
2006-09-26,100.00,0.00,0.00,0.00,0.00,0.00
2006-10-03,100.00,0.00,0.00,0.00,0.00,0.00
2006-10-10,100.00,0.00,0.00,0.00,0.00,0.00
2006-10-17,100.00,0.00,0.00,0.00,0.00,0.00
2006-10-24,100.00,0.00,0.00,0.00,0.00,0.00
2006-10-31,100.00,0.00,0.00,0.00,0.00,0.00
2006-11-07,100.00,0.00,0.00,0.00,0.00,0.00
2006-11-14,100.00,0.00,0.00,0.00,0.00,0.00
2006-11-21,100.00,0.00,0.00,0.00,0.00,0.00
2006-11-28,100.00,0.00,0.00,0.00,0.00,0.00
2006-12-05,0.00,100.00,0.00,0.00,0.00,0.00
2006-12-12,0.00,100.00,0.00,0.00,0.00,0.00
2006-12-19,0.00,100.00,0.00,0.00,0.00,0.00
2006-12-26,0.00,100.00,0.00,0.00,0.00,0.00
2007-01-02,0.00,100.00,0.00,0.00,0.00,0.00
2007-01-09,0.00,100.00,0.00,0.00,0.00,0.00
2007-01-16,0.00,100.00,0.00,0.00,0.00,0.00
2007-01-23,0.00,100.00,0.00,0.00,0.00,0.00
2007-01-30,100.00,0.00,0.00,0.00,0.00,0.00
2007-02-06,100.00,0.00,0.00,0.00,0.00,0.00
2007-02-13,100.00,0.00,0.00,0.00,0.00,0.00
2007-02-20,100.00,0.00,0.00,0.00,0.00,0.00
2007-02-27,100.00,0.00,0.00,0.00,0.00,0.00
2007-03-06,100.00,0.00,0.00,0.00,0.00,0.00
2007-03-13,100.00,0.00,0.00,0.00,0.00,0.00
2007-03-20,100.00,0.00,0.00,0.00,0.00,0.00
2007-03-27,100.00,0.00,0.00,0.00,0.00,0.00
2007-04-03,100.00,0.00,0.00,0.00,0.00,0.00
2007-04-10,100.00,0.00,0.00,0.00,0.00,0.00
2007-04-17,100.00,0.00,0.00,0.00,0.00,0.00
2007-04-24,100.00,0.00,0.00,0.00,0.00,0.00
2007-05-01,100.00,0.00,0.00,0.00,0.00,0.00
2007-05-08,100.00,0.00,0.00,0.00,0.00,0.00
2007-05-15,0.00,100.00,0.00,0.00,0.00,0.00
2007-05-22,0.00,100.00,0.00,0.00,0.00,0.00
2007-05-29,100.00,0.00,0.00,0.00,0.00,0.00
2007-06-05,100.00,0.00,0.00,0.00,0.00,0.00
2007-06-12,100.00,0.00,0.00,0.00,0.00,0.00
2007-06-19,100.00,0.00,0.00,0.00,0.00,0.00
2007-06-26,100.00,0.00,0.00,0.00,0.00,0.00
2007-07-03,100.00,0.00,0.00,0.00,0.00,0.00
2007-07-10,100.00,0.00,0.00,0.00,0.00,0.00
2007-07-17,100.00,0.00,0.00,0.00,0.00,0.00
2007-07-24,100.00,0.00,0.00,0.00,0.00,0.00
2007-07-31,100.00,0.00,0.00,0.00,0.00,0.00
2007-08-07,100.00,0.00,0.00,0.00,0.00,0.00
2007-08-14,100.00,0.00,0.00,0.00,0.00,0.00
2007-08-21,100.00,0.00,0.00,0.00,0.00,0.00
2007-08-28,100.00,0.00,0.00,0.00,0.00,0.00
2007-09-04,100.00,0.00,0.00,0.00,0.00,0.00
2007-09-11,100.00,0.00,0.00,0.00,0.00,0.00
2007-09-18,100.00,0.00,0.00,0.00,0.00,0.00
2007-09-25,100.00,0.00,0.00,0.00,0.00,0.00
2007-10-02,100.00,0.00,0.00,0.00,0.00,0.00
2007-10-09,100.00,0.00,0.00,0.00,0.00,0.00
2007-10-16,100.00,0.00,0.00,0.00,0.00,0.00
2007-10-23,100.00,0.00,0.00,0.00,0.00,0.00
2007-10-30,100.00,0.00,0.00,0.00,0.00,0.00
2007-11-06,100.00,0.00,0.00,0.00,0.00,0.00
2007-11-13,98.01,1.99,0.00,0.00,0.00,0.00
2007-11-20,98.01,1.99,0.00,0.00,0.00,0.00
2007-11-27,97.00,3.00,0.00,0.00,0.00,0.00
2007-12-04,0.00,100.00,0.00,0.00,0.00,0.00
2007-12-11,0.00,100.00,0.00,0.00,0.00,0.00
2007-12-18,0.00,100.00,0.00,0.00,0.00,0.00
2007-12-25,0.00,100.00,0.00,0.00,0.00,0.00
2008-01-01,0.00,100.00,0.00,0.00,0.00,0.00
2008-01-08,0.00,100.00,9.79,0.00,0.00,0.00
2008-01-15,0.00,100.00,74.15,0.00,0.00,0.00
2008-01-22,73.15,26.85,0.00,0.00,0.00,0.00
2008-01-29,73.15,26.85,0.00,0.00,0.00,0.00
2008-02-05,73.15,26.85,0.00,0.00,0.00,0.00
2008-02-12,0.00,100.00,32.27,0.00,0.00,0.00
2008-02-19,0.00,100.00,32.27,0.00,0.00,0.00
2008-02-26,0.00,100.00,32.27,0.00,0.00,0.00
2008-03-04,0.00,100.00,32.27,0.00,0.00,0.00
2008-03-11,100.00,0.00,0.00,0.00,0.00,0.00
2008-03-18,100.00,0.00,0.00,0.00,0.00,0.00
2008-03-25,100.00,0.00,0.00,0.00,0.00,0.00
2008-04-01,100.00,0.00,0.00,0.00,0.00,0.00
2008-04-08,0.00,100.00,0.00,0.00,0.00,0.00
2008-04-15,0.00,100.00,0.00,0.00,0.00,0.00
2008-04-22,0.00,100.00,0.00,0.00,0.00,0.00
2008-04-29,0.00,100.00,0.00,0.00,0.00,0.00
2008-05-06,0.00,100.00,0.00,0.00,0.00,0.00
2008-05-13,0.00,100.00,0.00,0.00,0.00,0.00
2008-05-20,0.00,100.00,100.00,0.00,0.00,0.00
2008-05-27,0.00,100.00,100.00,0.00,0.00,0.00
2008-06-03,0.00,100.00,100.00,100.00,0.00,0.00
2008-06-10,0.00,100.00,100.00,100.00,0.00,0.00
2008-06-17,0.00,100.00,100.00,100.00,0.00,0.00
2008-06-24,0.00,100.00,100.00,100.00,55.29,0.00
2008-07-01,0.00,100.00,100.00,100.00,100.00,0.00
2008-07-08,0.00,100.00,100.00,100.00,100.00,0.00
2008-07-15,0.00,100.00,100.00,100.00,100.00,0.00
2008-07-22,0.00,100.00,100.00,100.00,100.00,0.00
2008-07-29,0.00,100.00,100.00,100.00,74.37,0.00
2008-08-05,0.00,100.00,100.00,100.00,74.37,0.00
2008-08-12,0.00,100.00,100.00,100.00,100.00,0.00
